전시장명,참고,위도,경도,사이트주소,운영시간,운영시간,무료주차여부,유료주차여부,휠체어,장애인화장실여부,안내견동반가능여부,점자,오디어해설
FCLTY_NM,CTGRY_ONE_NM,LC_LA,LC_LO,HMPG_URL,RSTDE_GUID_CN,OPER_TIME,FRE_PARKNG_AT,CHGD_PARKNG_AT,WCHAIR_HOLD_AT,DSPSN_TOILET_AT,GUID_DOG_ACP_POSBL_AT,BRLL_GUID_AT,KLANG_VIC_GUID_AT
001스테이지,전시/공연,37.58153269,127.002336,www.00ground.kr/space/reservation,매주 일요일,10:00 - 19:00,N,N,N,Y,Y,Y,N
05스튜디오,전시/공연,37.78641343,126.698359,,,,N,N,N,N,N,N,N
072골프훈련소,레저/체육/공원,37.39403098,126.976543,,,매일 06:00-23:30,Y,Y,N,N,N,N,Y
1004섬수석미술관,전시/공연,34.8800925,125.996874,tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_02,매주 월요일,10:00-17:00,N,N,N,N,N,N,N
123GC,레저/체육/공원,37.64140522,126.903049,www.123golfclub.co.kr/,"	매년 1월달 매주 월요일, 신정, 설날, 추석 당일","월별 라운딩 TEE-OFF 시간은 홈페이지 참조
골프연습장 05:00 - 19:00 일몰시간에 따라 변동 가능, 1시간 전 티켓팅 마감",Y,N,N,N,N,N,N
148아트스퀘어,전시/공연,36.80700113,128.616142,www.yctf.or.kr/bbs/board.php?bo_table=m203,"매주 월요일, 명절 (일정이 있을 경우는 당일만, 없으면 연휴 전체)",09:00-18:00,Y,N,N,Y,N,Y,Y
153가족캠프,문화관광/명소,37.42870998,126.991199,,,,N,N,N,N,N,N,N
168아트스퀘어,전시/공연,36.97189318,127.933612,168artsquare.com,,매일 00:00 - 24:00 개관일정별도공지,N,N,N,N,N,N,N
1987박종철기념관,전시/공연,37.46938355,126.938152,,,,N,N,N,N,N,N,N
1박2일 녹수다리 유원지,문화관광/명소,37.76365653,127.392225,,,,Y,N,N,N,Y,N,N
1MSPACE,전시/공연,37.55760078,126.938198,theaterplot.oopy.io/,,,Y,N,N,N,Y,N,N
2.28민주운동기념회관,전시/공연,35.85840431,128.590354,library.daegu.go.kr/228lib/index.do,매주 월요일,"화 09:00 - 19:00
수 09:00 - 19:00
목 09:00 - 19:00
금 09:00 - 19:00
토 09:00 - 17:00
일 09:00 - 17:00",Y,N,N,Y,N,N,N
2001아울렛 구로 어린이 소극장,전시/공연,37.49807255,126.862677,2001gurohall.modoo.at,매주 월요일,"수 10:00 - 22:00
목 10:00 - 22:00
금 10:00 - 22:00
토 10:00 - 22:00
일 10:00 - 22:00
화 10:00 - 22:00",Y,Y,N,Y,Y,Y,N
2012농어촌산업박람회,전시/공연,37.66893348,126.745803,,,,N,N,N,N,N,N,N
2012명품병원의료관광전시회,전시/공연,37.66469545,126.742064,,,,N,N,N,N,N,N,N
2012여수세계박람회재단,전시/공연,34.75218956,127.746501,www.expo2012.kr/web/,,,Y,Y,N,N,N,N,N
24시골프,레저/체육/공원,37.44850127,126.787247,www.sjoy.co.kr/,,"매일
1층-스페셜조이피팅	12:00 - 24:00
2층-24스크린골프	10:00 - 21:00",Y,N,N,N,N,N,Y
29아트,전시/공연,37.5535257,127.194669,www.29art.com/e/,,,N,N,N,N,N,N,N
3.15국립묘지,전시/공연,35.25266875,128.587535,www.mpva.go.kr/315/index.do,토요일 및 국·공휴일,09:00 ~ 18:00 / 동절기(11월~2월) : 09:00 ~ 17:00,Y,N,Y,Y,Y,Y,N
3.15아트센터,전시/공연,35.22581853,128.577106,www.cwcf.or.kr/facility/facility_315art.asp,,,Y,N,N,Y,N,Y,N
3.15의거발원지기념관,전시/공연,35.20709,128.577275,,매주 월요일,화~일  09:00 - 18:00,N,Y,N,Y,Y,Y,N
3.1순국기념관,전시/공연,37.12630809,126.891596,www.jeam.or.kr/html/?pmode=main,매주 월요일,10:00-18:00 (입장마감: 17시),Y,N,Y,Y,Y,Y,Y
3.1운동기념관,전시/공연,37.06278466,127.175295,www.anseong.go.kr/tourPortal/41/main.do,매주 월요일,"09:00~18:00
(17:00까지 입장)",Y,N,Y,Y,Y,Y,Y
3.1의거기념관,전시/공연,36.25369793,129.355422,pohang.go.kr/phtour/9297/subview.do?enc=Zm5jdDF8QEB8JTJGdG91ckluZm8lMkZwaHRvdXIlMkY3JTJGMzglMkZ0b3VyVmlldy5kbyUzRnBhZ2UlM0QxJTI2c3JjaENvbHVtbiUzRCUyNnNyY2hXcmQlM0QlMjY%3D,매주 월요일,09:00~18:00,Y,N,N,N,N,N,N
30CUBE아쿠아,문화관광/명소,35.86736822,129.214133,,,,N,N,N,N,N,N,N
313아트프로젝트,전시/공연,37.59501819,126.989272,"313artproject.com/
","매주 일요일, 월요일","Office Hours: Tuesday ? Saturday 10 am ? 6 pm

Exhibition Hours: Tuesday ? Saturday 11 am ? 5 pm",N,N,N,N,Y,N,Y
360도CC,레저/체육/공원,37.30257197,127.739319,www.360cc.co.kr/,"연중무휴, 기상 상황에 따라 변동",TEE-OFF 일출 30분 후 - 일몰 5시간 이내,Y,N,N,Y,Y,N,N
365계단,문화관광/명소,35.36445864,126.396027,,,,N,N,N,N,N,N,N
365세이프타운,문화관광/명소,37.1025746,129.025226,www.taebaek.go.kr/365safetown/index.do,매주 월요일(월요일이 공휴일인 경우 공휴일이 끝나는 다음날 ),"09:00~18:00
※ 16시 이후 입장시 시간관계상 일부 체험관 이용 불가",Y,N,Y,Y,Y,Y,Y
38문화예술창작소,전시/공연,38.01616895,127.217375,,,,N,N,N,N,N,N,N
3D공룡체험박물관,전시/공연,37.70844017,126.685174,,,,N,N,N,N,N,N,N
3D과학체험관,전시/공연,35.38987046,129.155758,3d.yangsan.go.kr/,매주 월요일,"10:00 ~ 12:00
13:00 ~ 15:00
15:30 ~ 17:30
점심시간(11:50~12:50)에는 입장이 불가능합니다.",Y,N,Y,Y,N,Y,Y
3D블랙아트,전시/공연,37.547246,127.078304,,,,N,Y,N,N,N,N,N
3RDMUSEUM,전시/공연,37.55163429,126.919113,www.thirdmuseum.com,매주 월요일,10:00 - 19:00,Y,N,N,N,Y,N,N
4.16기억전시관,전시/공연,37.32516183,126.821402,www.416memory.org/,,09:00 - 18:00,Y,N,N,N,N,N,N
4.19국립묘지4.19기념관,전시/공연,37.64839067,127.009071,www.mpva.go.kr/419/index.do,국ㆍ공휴일,월~금요일 근무일 09:00~17:00,Y,N,Y,Y,Y,Y,Y
4.19혁명기념회관,전시/공연,37.56744493,126.967694,,매주 일요일,월~토 08:00~22:00,Y,N,Y,Y,Y,Y,Y
40계단거리,문화관광/명소,35.10338417,129.035636,,,,N,N,N,N,Y,N,N
40계단문화관,전시/공연,35.10500721,129.03448,www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000208001001000&link=success&cpath=%2Ftour,매주 월요일,"평일(화~금) 10:00 ~ 18:00
토요일/일요일 10:00 ~ 17:00",Y,N,N,N,Y,N,N
4차산업혁명체험센터,전시/공연,37.55467447,127.04049,sdfic.sd.go.kr/,"매주 토,일",09:00-18:00,Y,N,Y,Y,Y,Y,Y
4D무비카광주지사,문화관광/명소,37.42818857,127.237393,,,,N,N,N,N,N,N,N
4EST수목원,문화관광/명소,34.45491283,126.596928,www.4est수목원.com/,,매일 09:00 - 19:00 동절기 9:00~17:00,N,N,N,N,N,N,N
5.18기념공원,레저/체육/공원,35.15574851,126.858584,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter59,,,Y,N,N,N,Y,N,N
