전시관명	운영시간	홈페이지	휠체어 보유	주차 (무/유)	장애인 화장실	점자/음성 안내	위치 (위도, 경도)
가나아트	평일 10:00 - 19:00	[링크](www.galleryinsaart.com/)	N	N / N	N	N / N	37.57499572, 126.983939
경기도박물관	10:00 - 18:00 (입장마감 17:20)	[링크](musenet.ggcf.kr/)	Y	N / Y	Y	Y / N	37.26818786, 127.108653
경기문화재단	09:00 - 18:00	정보없음	N	Y / N	N	N / Y	37.26677627, 126.985018
광주시립미술관	평일, 주말, 공휴일 : 10:00 ~ 18:00 매월 마지막 주 수요일 : 10:00 ~20:00 (문화가 있는 날)	[링크](artmuse.gwangju.go.kr/)	Y	Y / N	Y	N / Y	35.18323305, 126.885736
광주역사민속박물관	오전 09:00 ~ 오후 18:00 관람 종료 30분 전까지 입장 가능	[링크](www.gwangju.go.kr/gjhfm/)	Y	Y / N	Y	N / Y	35.18441617, 126.888436
국립경주박물관	관람시간: 10:00~18:00 (토요일 및 공휴일 1시간 연장) 야간연장개관: 10:00~21:00 (매달 마지막 주 수요일, 3월~12월 매주 토요일) 입장마감: 관람 종료 30분전 까지	[링크](gyeongju.museum.go.kr/)	Y	Y / N	Y	Y / N	35.82943009, 129.228682
국립고궁박물관	10:00~18:00 (수·토요일은 10:00~21:00) 입장은 마감 1시간 전까지	[링크](www.gogung.go.kr)	Y	N / N	Y	Y / Y	37.57659162, 126.974975
국립광주박물관	10:00~18:00  야간개장 10:00~20:00 (4월~10월)매주 토요일  어린이박물관 10:00~17:00  박물관 정원은 항상 열려 있습니다.(08:00-20:00)	[링크](gwangju.museum.go.kr/index.jsp)	N	Y / N	Y	N / N	35.18965658, 126.883951
국립김해박물관	상설전시 9:00~18:00 어린이박물관10:00~17:50　(준비시간: 12:00~13:00 미운영) 입장 시간 관람 종료 30분 전까지	[링크](gimhae.museum.go.kr/kr/)	Y	Y / N	Y	Y / Y	35.24353009, 128.872585
국립대구박물관	평일 09:00 - 18:00 (코로나19 상황으로 18:00 까지 관람 가능)토요일 09:00 - 18:00 (코로나19 상황으로 18:00 까지 관람 가능)일요일 09:00 - 18:00 (코로나19 상황으로 18:00 까지 관람 가능)공휴일 09:00 - 18:00 (1월 1일, 설날, 추석 당일 휴관)월요일 휴무 (월요일이 공휴일인 경우 다음 평일 휴관)	[링크](daegu.museum.go.kr/)	Y	Y / N	Y	Y / Y	35.84557453, 128.638342
국립민속박물관	매일 10:00 - 18:00	[링크](www.nfm.go.kr/home/subIndex/1241.do)	Y	Y / N	Y	Y / N	37.78666956, 126.693918
국립부여박물관	관람시간 : 오전 9시 ~ 오후 6시 문화가 있는 날이 있는 주의 토요일 : 오전 9시 ~ 오후 9시 문화가 있는 날 관련 야간 개장 일자는 공지사항에서 확인하실 수 있습니다. 관람 종료시간 30분 전까지만 입장할 수 있습니다.	[링크](buyeo.museum.go.kr/contents/siteMain.do)	Y	Y / N	Y	Y / Y	36.27564277, 126.917893
국립아시아문화전당홍보관	내부시설 : 10:00 ~ 18:00 라이브러리파크, 문화창조원 매주 수요일, 토요일 10:00 ~ 20:00까지 연장 운영 외부시설 (03월 - 11월) 06:00 ~ 22:00 (12월 - 02월) 07:00 ~ 22:00	[링크](www.acc.go.kr/main/index.do)	N	Y / N	Y	N / N	35.1470573, 126.920031
미륵사지국립익산박물관	09:00 ~ 18:00	[링크](iksan.museum.go.kr/kor/)	Y	Y / N	Y	N / N	36.01155117, 127.028714
국립전주박물관	10:00 ~ 18:00 입장마감 17:30	[링크](jeonju.museum.go.kr/)	N	Y / N	Y	N / N	35.80103866, 127.088374
국립진주박물관	09:00 ~ 18:00  입장마감 : 관람종료 30분전 까지	[링크](jinju.museum.go.kr/kor/)	Y	N / N	Y	Y / Y	35.18901371, 128.076844
국립춘천박물관	09:00 ~ 18:00  관람종료 30분 전까지 입장가능	[링크](chuncheon.museum.go.kr/kor/index.do)	Y	Y / N	Y	Y / Y	37.86384113, 127.752088
국립현대미술관	정보없음	[링크](www.mmca.go.kr/)	N	Y / N	N	N / N	37.71373368, 126.858773
