venue,title
문화창조원 복합전시 5관,ACC NEXT아시아 신진 작가전
K,K-Arts space 전시 가로고침 《무한차원의 놂 Norms on infinite-dimensional
예술의전당,볼로냐 일러스트 원화전 59th
서소문성지 역사박물관 지하 2층 기획전시실,"디깅 사운드트랙 - 엘피, 카세트, 시디로 듣는 한국영화의 음악들"
해외,"항상 옆에 있으니까 일본과 한국, 미술 80년"
해외,"항상 옆에 있으니까 일본과 한국, 미술 80년"
국립춘천박물관 본관 2층 '금강산과 관동팔경' 브랜드존과 강원의 근세실,강원의 삶과 이상향
해외,"이건희컬렉션 국외순회전 «한국의 보물: 모으고, 아끼고, 나누다»"
서울공예박물관,소멸의 시학: 삭는 미술에 대하여
해외,"이건희컬렉션 국외순회전 «한국의 보물: 모으고, 아끼고, 나누다»"
과천,신상호: 무한변주
국립중앙박물관 특별전시실 2,광복 80주년 기념 특별전 우리들의 이순신
국립중앙박물관 특별전시실1,"인상주의에서 초기 모더니즘까지, 빛을 수집한 사람들"
과천,신상호: 무한변주
국립춘천박물관 브랜드 2,"강원의 불교미술, 깨달음을 찾는 길"
아시아문화박물관 상설전시실 1,길 위의 노마드: 중앙아시아 이동과 교류의 유산
기획전시실2,"사람과 땅, 지리지에 담다"
과천,신상호: 무한변주
국립중앙박물관 상설전시관,"용산 개관 20주년 &lt;20년의 이야기, 유물과 사람&gt;"
과천,MMCA 해외 명작: 수련과 샹들리에
청주시립대청호미술관,"조우(遭遇), 모던아트협회 1957-1960"
청주시립대청호미술관,"조우(遭遇), 모던아트협회 1957-1960"
과천,MMCA 해외 명작: 수련과 샹들리에
신라역사관,"신라 금관, 권력과 위신"
국립진주박물관 기획전시실,"암행어사, 백성의 곁에 서다"
국립제주박물관,"적도의 황금왕국, 인도네시아"
상설전시관 제3전시실,"80년, 함께 걸어온 기억의 순간"
청주시립대청호미술관,"조우(遭遇), 모던아트협회 1957-1960"
특별전시실,알록달록 동자상
과천,MMCA 해외 명작: 수련과 샹들리에
서울공예박물관,올해의 작가상 2025
덕수궁,"광복 80주년 기념 «향수(鄕愁), 고향을 그리다»"
청주시립대청호미술관,미술은행 20주년 특별전 «돌아온 미래: 형태와 생각의 발현»
서울공예박물관,MMCA×LG OLED 시리즈 2025—추수
청주시립대청호미술관,특별수장고: 국립현대미술관 드로잉·일본 현대 판화 소장품
청주시립대청호미술관,특별수장고: 국립현대미술관 드로잉·일본 현대 판화 소장품
서울공예박물관,MMCA×LG OLED 시리즈 2025—추수
서울공예박물관,올해의 작가상 2025
청주시립대청호미술관,미술은행 20주년 특별전 «돌아온 미래: 형태와 생각의 발현»
과천,MMCA 해외 명작 : 수련과 샹들리에
청주시립대청호미술관,모던아트협회 1957-60
덕수궁,"광복 80주년 기념 «향수(鄕愁), 고향을 그리다»"
아시아문화박물관 기획전시실 2,김한용 아카이브 사진전 〈꿈의 기록〉
국립김해박물관 기획전시실,시간의 공존 김해 대성동 고분군
문화창조원 복합전시 1관,국립아시아문화전당 개관 10주년 기념 특별전시 《봄의 선언》
국립익산박물관 기획전시실,"탑이 품은 칼, 미륵사에 깃든 바람"
서울공예박물관,MMCA X LG OLED 시리즈 2025
서울공예박물관,MMCA X LG OLED 시리즈 2025
상설전시관 2층 기증1실,두 발로 세계를 제패하다
과천,MMCA 과천 상설전 «한국근현대미술 II»
과천,MMCA 과천 상설전 «한국근현대미술 II»
상설전시실,한글 타자기 전성시대
